gene_id,novel_isoform_count,gene_name
ENSMUSG00000045983,8,Eif4g1
ENSMUSG00000002944,7,Cd36
6:119330000,6,NA
ENSMUSG00000061232,6,H2-K1
ENSMUSG00000024393,6,Prrc2a
ENSMUSG00000036570,5,Fxyd1
5:18470000,5,NA
ENSMUSG00000032637,5,Atxn2l
9:123135000,5,NA
ENSMUSG00000024991,5,Eif3a
ENSMUSG00000025369,5,Smarcc2
ENSMUSG00000073418,5,C4b
ENSMUSG00000061780,5,Cfd
ENSMUSG00000012705,5,Retn
ENSMUSG00000090625,5,Gm20721
ENSMUSG00000026083,4,Eif5b
ENSMUSG00000022961,4,Son
3:10269000,4,NA
ENSMUSG00000030278,4,Cidec
15:11839000,4,NA
ENSMUSG00000027523,4,Gnas
ENSMUSG00000004980,4,Hnrnpa2b1
MT:5000,4,NA
ENSMUSG00000062515,4,Fabp4
MT:15000,4,NA
ENSMUSG00000030495,4,Slc7a10
ENSMUSG00000024990,4,Rbp4
ENSMUSG00000027422,4,Rrbp1
5:142888000,4,NA
ENSMUSG00000039886,3,Tmem120a
7:79369000,3,NA
10:81234000,3,NA
8:112352000,3,NA
ENSMUSG00000035851,3,Ythdc1
ENSMUSG00000026353,3,Ubxn4
MT:10000,3,NA
ENSMUSG00000020538,3,Srebf1
MT:4000,3,NA
ENSMUSG00000030795,3,Fus
MT:9000,3,NA
2:22478000,3,NA
2:145483000,3,NA
15:3347000,3,NA
ENSMUSG00000090841,3,Myl6
ENSMUSG00000024066,3,Xdh
ENSMUSG00000024371,3,C2
ENSMUSG00000070544,3,Top1
ENSMUSG00000022150,3,Dab2
10:128325000,3,NA
ENSMUSG00000025613,3,Cct8
ENSMUSG00000018593,3,Sparc
ENSMUSG00000028959,3,Fastk
14:45614000,3,NA
ENSMUSG00000053332,3,Gas5
ENSMUSG00000020368,3,Canx
2:130972000,3,NA
14:22034000,3,NA
ENSMUSG00000018501,3,Ncor1
18:69820000,3,NA
ENSMUSG00000006800,3,Sulf2
ENSMUSG00000032946,3,Rasgrp2
ENSMUSG00000028809,3,Srrm1
1:45896000,3,NA
ENSMUSG00000019302,3,Atp6v0a1
ENSMUSG00000020282,3,Rhbdf1
1:73949000,3,NA
ENSMUSG00000055204,3,Ankrd17
ENSMUSG00000023861,3,Mpc1
ENSMUSG00000029062,3,Cdk11b
ENSMUSG00000024474,3,Ik
ENSMUSG00000040249,3,Lrp1
ENSMUSG00000034842,3,Art3
ENSMUSG00000015568,3,Lpl
ENSMUSG00000056851,3,Pcbp2
7:45122000,3,NA
ENSMUSG00000041133,3,Smc1a
ENSMUSG00000040952,3,Rps19
ENSMUSG00000021282,3,Eif5
ENSMUSG00000060002,3,Chpt1
ENSMUSG00000027940,3,Tpm3
ENSMUSG00000061136,3,Prpf40a
ENSMUSG00000042099,3,Kank3
ENSMUSG00000026970,3,Rbms1
4:94937000,3,NA
ENSMUSG00000026879,3,Gsn
ENSMUSG00000017999,3,Ddx27
17:40158000,3,NA
ENSMUSG00000004098,3,Col5a3
19:40547000,3,NA
ENSMUSG00000021552,3,Gkap1
ENSMUSG00000027406,3,Idh3b
ENSMUSG00000010608,3,Rbm25
14:49249000,3,NA
ENSMUSG00000024621,3,Csf1r
4:134941000,3,NA
ENSMUSG00000024940,3,Ltbp3
8:109687000,3,NA
ENSMUSG00000024949,3,Sf1
ENSMUSG00000005373,3,Mlxipl
ENSMUSG00000001119,3,Col6a1
ENSMUSG00000023010,3,Tmbim6
ENSMUSG00000026615,3,Eprs
11:69289000,3,NA
ENSMUSG00000029478,3,Ncor2
ENSMUSG00000020863,3,Luc7l3
ENSMUSG00000027620,3,Rbm39
8:69357000,3,NA
ENSMUSG00000041571,3,Selenow
ENSMUSG00000031503,2,Col4a2
ENSMUSG00000022185,2,Acin1
10:8597000,2,NA
8:69358000,2,NA
ENSMUSG00000010277,2,Bltp2
MT:14000,2,NA
ENSMUSG00000012428,2,Steap4
ENSMUSG00000035401,2,Emsy
13:98035000,2,NA
ENSMUSG00000021639,2,Gtf2h2
4:82213000,2,NA
18:31714000,2,NA
ENSMUSG00000021681,2,Aggf1
5:66456000,2,NA
ENSMUSG00000021686,2,Ap3b1
19:55921000,2,NA
MT:3000,2,NA
ENSMUSG00000032280,2,Tle3
ENSMUSG00000035873,2,Pawr
ENSMUSG00000032042,2,Srpr
2:24952000,2,NA
8:61363000,2,NA
ENSMUSG00000011877,2,Git1
MT:000,2,NA
14:63198000,2,NA
JH584304.1:52000,2,NA
5:77146000,2,NA
13:9222000,2,NA
5:77494000,2,NA
ENSMUSG00000022000,2,Zc3h13
ENSMUSG00000035863,2,Palm
10:80987000,2,NA
18:10064000,2,NA
5:88702000,2,NA
2:22902000,2,NA
8:70635000,2,NA
ENSMUSG00000036057,2,Ptpn23
ENSMUSG00000007850,2,Hnrnph1
13:96785000,2,NA
5:146146000,2,NA
ENSMUSG00000032212,2,Sltm
ENSMUSG00000032754,2,Slc8b1
ENSMUSG00000018678,2,Sp2
5:147498000,2,NA
ENSMUSG00000018666,2,Cbx1
ENSMUSG00000034243,2,Golgb1
18:74414000,2,NA
8:3707000,2,NA
19:32443000,2,NA
18:69816000,2,NA
ENSMUSG00000034194,2,R3hcc1
10:120617000,2,NA
ENSMUSG00000020198,2,Ap3d1
ENSMUSG00000020171,2,Yeats4
X:97991000,2,NA
ENSMUSG00000033576,2,Apol6
19:12744000,2,NA
ENSMUSG00000035342,2,Lzts2
ENSMUSG00000018707,2,Dync1h1
19:29587000,2,NA
ENSMUSG00000021843,2,Ktn1
19:40280000,2,NA
ENSMUSG00000010663,2,Fads1
ENSMUSG00000032187,2,Smarca4
5:75358000,2,NA
4:59472000,2,NA
MT:6000,2,NA
19:4031000,2,NA
ENSMUSG00000032580,2,Rbm5
ENSMUSG00000020954,2,Strn3
ENSMUSG00000020315,2,Sptbn1
ENSMUSG00000019179,2,Mdh2
18:84029000,2,NA
ENSMUSG00000020232,2,Hmg20b
2:169524000,2,NA
ENSMUSG00000034088,2,Hdlbp
ENSMUSG00000018848,2,Rars
ENSMUSG00000018796,2,Acsl1
ENSMUSG00000022214,2,Dcaf11
16:52070000,2,NA
5:5831000,2,NA
X:152281000,2,NA
2:84518000,2,NA
16:56510000,2,NA
ENSMUSG00000062822,2,4833420G17Rik
9:109911000,2,NA
ENSMUSG00000040488,2,Ltbp4
5:135436000,2,NA
15:81709000,2,NA
2:84431000,2,NA
ENSMUSG00000052707,2,Tnrc6a
ENSMUSG00000026791,2,Slc2a8
7:100490000,2,NA
ENSMUSG00000021621,2,Zcchc9
ENSMUSG00000021546,2,Hnrnpk
10:59823000,2,NA
8:124389000,2,NA
5:4131000,2,NA
ENSMUSG00000015087,2,Rabl6
2:83183000,2,NA
ENSMUSG00000026821,2,Ralgds
7:58960000,2,NA
ENSMUSG00000040725,2,Hnrnpul1
ENSMUSG00000029309,2,Sparcl1
ENSMUSG00000029860,2,Zyx
7:46640000,2,NA
9:114728000,2,NA
3:108810000,2,NA
15:73964000,2,NA
15:81588000,2,NA
ENSMUSG00000026922,2,Agpat2
ENSMUSG00000063200,2,Nol7
ENSMUSG00000052337,2,Immt
ENSMUSG00000042520,2,Ubap2l
ENSMUSG00000063450,2,Syne2
ENSMUSG00000063382,2,Bcl9l
7:13066000,2,NA
1:179992000,2,NA
ENSMUSG00000063273,2,Naa15
ENSMUSG00000021270,2,Hsp90aa1
ENSMUSG00000015023,2,Ddx19a
19:4366000,2,NA
ENSMUSG00000032497,2,Lrrfip2
18:47380000,2,NA
18:47379000,2,NA
ENSMUSG00000015852,2,Fcrls
5:108056000,2,NA
ENSMUSG00000021103,2,Mnat1
ENSMUSG00000032534,2,Cep63
X:158150000,2,NA
ENSMUSG00000021134,2,Srsf5
5:34333000,2,NA
5:105962000,2,NA
14:55135000,2,NA
5:36631000,2,NA
ENSMUSG00000021144,2,Mta1
18:39545000,2,NA
ENSMUSG00000021156,2,Zmynd11
ENSMUSG00000021179,2,Nrde2
X:165990000,2,NA
ENSMUSG00000015889,2,Lta4h
14:103214000,2,NA
ENSMUSG00000021494,2,Ddx41
4:98001000,2,NA
4:97717000,2,NA
ENSMUSG00000035203,2,Epn1
X:138654000,2,NA
8:48279000,2,NA
ENSMUSG00000021493,2,Pdlim7
X:134934000,2,NA
10:70028000,2,NA
5:107254000,2,NA
4:9451000,2,NA
19:4496000,2,NA
2:154428000,2,NA
18:34732000,2,NA
ENSMUSG00000032481,2,Smarcc1
5:38684000,2,NA
X:151056000,2,NA
19:21369000,2,NA
ENSMUSG00000017843,2,Ppp2r5c
19:21370000,2,NA
5:135274000,2,NA
ENSMUSG00000037149,2,Ddx1
ENSMUSG00000022884,2,Eif4a2
2:132371000,2,NA
19:8751000,2,NA
ENSMUSG00000031808,2,Slc27a1
2:28823000,2,NA
ENSMUSG00000004535,2,Tax1bp1
ENSMUSG00000037300,2,Ttc13
ENSMUSG00000022808,2,Snx4
ENSMUSG00000004846,2,Plod3
13:60322000,2,NA
ENSMUSG00000004364,2,Cul3
19:7564000,2,NA
6:119900000,2,NA
ENSMUSG00000005501,2,Usp40
ENSMUSG00000037003,2,Tns2
13:60909000,2,NA
ENSMUSG00000101939,2,Gm28438
11:106139000,2,NA
17:78683000,2,NA
ENSMUSG00000022517,2,Mgrn1
ENSMUSG00000023886,2,Smoc2
19:16363000,2,NA
6:127102000,2,NA
ENSMUSG00000095041,2,NA
ENSMUSG00000036572,2,Upf3b
4:40804000,2,NA
2:26349000,2,NA
ENSMUSG00000003623,2,Crot
14:70841000,2,NA
ENSMUSG00000023932,2,Cdc5l
6:128298000,2,NA
10:94424000,2,NA
19:5892000,2,NA
ENSMUSG00000003617,2,Cp
13:54261000,2,NA
ENSMUSG00000036751,2,Cox6b1
19:7252000,2,NA
6:114836000,2,NA
4:21875000,2,NA
ENSMUSG00000036323,2,Srp72
2:30275000,2,NA
ENSMUSG00000006932,2,Ctnnb1
6:133082000,2,NA
ENSMUSG00000037720,2,Tmem33
ENSMUSG00000003380,2,Rabac1
ENSMUSG00000003435,2,Supt5
ENSMUSG00000003402,2,Prkcsh
19:57377000,2,NA
4:43566000,2,NA
ENSMUSG00000023951,2,Vegfa
ENSMUSG00000007029,2,Vars
2:130871000,2,NA
ENSMUSG00000036257,2,Pnpla8
13:54260000,2,NA
2:148246000,2,NA
ENSMUSG00000037815,2,Ctnna1
19:57021000,2,NA
ENSMUSG00000031578,2,Mak16
11:102053000,2,NA
ENSMUSG00000022665,2,Ccdc80
2:27652000,2,NA
11:106671000,2,NA
6:120418000,2,NA
ENSMUSG00000036932,2,Aifm1
ENSMUSG00000023007,2,Prpf40b
ENSMUSG00000004263,2,Atn1
4:32020000,2,NA
10:93582000,2,NA
5:97239000,2,NA
17:71765000,2,NA
13:58274000,2,NA
ENSMUSG00000003500,2,Impdh1
ENSMUSG00000006498,2,Ptbp1
ENSMUSG00000022255,2,Mtdh
10:88319000,2,NA
8:116429000,2,NA
2:29961000,2,NA
ENSMUSG00000023353,2,Agap3
ENSMUSG00000031667,2,Aktip
5:31313000,2,NA
ENSMUSG00000020821,2,Kif1c
ENSMUSG00000020823,2,Sec14l1
ENSMUSG00000017132,2,Cyth1
ENSMUSG00000020831,2,0610010K14Rik
14:14379000,2,NA
10:34027000,2,NA
18:57525000,2,NA
8:129980000,2,NA
ENSMUSG00000017288,2,Vps53
ENSMUSG00000020889,2,Nr1d1
ENSMUSG00000020893,2,Per1
10:37011000,2,NA
8:128338000,2,NA
14:52311000,2,NA
ENSMUSG00000020923,2,Ubtf
X:169104000,2,NA
ENSMUSG00000017264,2,Exosc10
ENSMUSG00000016487,2,Ppfibp1
ENSMUSG00000032582,2,Rbm6
ENSMUSG00000033170,2,Card10
ENSMUSG00000020048,2,Hsp90b1
5:138200000,2,NA
ENSMUSG00000019802,2,Sec63
19:10479000,2,NA
8:24927000,2,NA
14:34133000,2,NA
19:23142000,2,NA
ENSMUSG00000033813,2,Tcea1
ENSMUSG00000020451,2,Limk2
5:131466000,2,NA
ENSMUSG00000033955,2,Tnks1bp1
X:84746000,2,NA
19:25411000,2,NA
5:129892000,2,NA
ENSMUSG00000018476,2,Kdm6b
ENSMUSG00000020441,2,2310033P09Rik
18:52649000,2,NA
5:115236000,2,NA
17:47463000,2,NA
ENSMUSG00000023044,2,Csad
2:173940000,2,NA
ENSMUSG00000034501,2,Pcnx4
ENSMUSG00000022201,2,Zfr
1:135363000,2,NA
ENSMUSG00000031818,2,Cox4i1
ENSMUSG00000031660,2,Brd7
ENSMUSG00000004207,2,Psap
ENSMUSG00000037364,2,Srrt
14:20773000,2,NA
11:100847000,2,NA
ENSMUSG00000023150,2,Ivns1abp
13:65212000,2,NA
17:7005000,2,NA
ENSMUSG00000023224,2,Serping1
2:26810000,2,NA
8:72934000,2,NA
ENSMUSG00000020709,2,Adap2
ENSMUSG00000020681,2,Ace
2:157402000,2,NA
ENSMUSG00000034361,2,Cpne2
ENSMUSG00000018446,2,C1qbp
ENSMUSG00000020580,2,Rock2
8:3709000,2,NA
2:158607000,2,NA
ENSMUSG00000020473,2,Aebp1
X:59268000,2,NA
ENSMUSG00000020486,2,Septin4
5:21867000,2,NA
10:13888000,2,NA
ENSMUSG00000034390,2,Cmip
10:13006000,2,NA
2:103945000,2,NA
19:36998000,2,NA
ENSMUSG00000020593,2,Lpin1
ENSMUSG00000017781,2,Pitpna
ENSMUSG00000017774,2,Myo1c
6:98903000,2,NA
4:40775000,2,NA
ENSMUSG00000028402,2,Mpdz
12:103856000,2,NA
ENSMUSG00000002395,2,Use1
ENSMUSG00000031283,2,Chrdl1
11:120271000,2,NA
12:116334000,2,NA
15:102901000,2,NA
3:137620000,2,NA
ENSMUSG00000024335,2,Brd2
ENSMUSG00000038025,2,Phf2
ENSMUSG00000002831,2,Plin4
ENSMUSG00000003068,2,Stk11
17:40157000,2,NA
1:72897000,2,NA
2:129472000,2,NA
1:12930000,2,NA
ENSMUSG00000003123,2,Lipe
6:13625000,2,NA
ENSMUSG00000031479,2,Vps36
ENSMUSG00000038175,2,Mylip
ENSMUSG00000028902,2,Sf3a3
ENSMUSG00000031311,2,Nono
13:43348000,2,NA
3:149778000,2,NA
ENSMUSG00000025762,2,Larp1b
ENSMUSG00000025780,2,Itih5
9:26674000,2,NA
ENSMUSG00000024975,2,Pdcd4
ENSMUSG00000029068,2,Ccnl2
ENSMUSG00000024527,2,Afg3l2
8:85431000,2,NA
17:35347000,2,NA
8:85433000,2,NA
17:35485000,2,NA
ENSMUSG00000046034,2,Otulin
ENSMUSG00000046329,2,Slc25a23
6:148081000,2,NA
8:103591000,2,NA
ENSMUSG00000031328,2,Flna
ENSMUSG00000028936,2,Rpl22
11:116329000,2,NA
11:117653000,2,NA
ENSMUSG00000038733,2,Wdr26
4:132823000,2,NA
ENSMUSG00000028763,2,Hspg2
6:37304000,2,NA
7:96957000,2,NA
1:150140000,2,NA
ENSMUSG00000024974,2,Smc3
11:60335000,2,NA
ENSMUSG00000078622,2,Ccdc47
ENSMUSG00000038642,2,Ctss
ENSMUSG00000078619,2,Smarcd2
13:25393000,2,NA
1:138411000,2,NA
11:21270000,2,NA
ENSMUSG00000028826,2,Maco1
ENSMUSG00000024613,2,Tcof1
12:11140000,2,NA
9:25012000,2,NA
8:89318000,2,NA
ENSMUSG00000037958,2,Nsrp1
2:34566000,2,NA
ENSMUSG00000087382,2,Ctcflos
ENSMUSG00000002996,2,Hbp1
ENSMUSG00000002949,2,Timm44
ENSMUSG00000045934,2,Mtmr11
15:100495000,2,NA
ENSMUSG00000031380,2,Vegfd
ENSMUSG00000002833,2,Hdgfl2
13:34217000,2,NA
ENSMUSG00000038604,2,Ripor1
ENSMUSG00000078566,2,Bnip3
6:22306000,2,NA
ENSMUSG00000001833,2,Septin7
11:23439000,2,NA
ENSMUSG00000024853,2,Sf3b2
2:39084000,2,NA
ENSMUSG00000024921,2,Smarca2
ENSMUSG00000025616,2,Usp16
ENSMUSG00000000184,2,Ccnd2
ENSMUSG00000024620,2,Pdgfrb
17:15165000,2,NA
ENSMUSG00000078350,2,Smim1
11:35602000,2,NA
4:129743000,2,NA
1:151697000,2,NA
7:92583000,2,NA
ENSMUSG00000025153,2,Fasn
ENSMUSG00000075394,2,Hoxc4
ENSMUSG00000074733,2,Zfp950
8:94698000,2,NA
4:129113000,2,NA
13:13406000,2,NA
4:128904000,2,NA
ENSMUSG00000025223,2,Ldb1
15:97690000,2,NA
ENSMUSG00000001062,2,Vps9d1
2:120291000,2,NA
ENSMUSG00000039001,2,Rps21
ENSMUSG00000038762,2,Abcf1
15:27594000,2,NA
12:108169000,2,NA
ENSMUSG00000028681,2,Ptch2
ENSMUSG00000029106,2,Add1
3:8994000,2,NA
17:23971000,2,NA
2:57258000,2,NA
ENSMUSG00000074129,2,Rpl13a
ENSMUSG00000028104,2,Polr3gl
ENSMUSG00000000751,2,Rpa1
