ids	SRR33470049_nocondition_nobatch
ENSMUST00000000058_ENSMUSG00000000058	201.0
ENSMUST00000000080_ENSMUSG00000000078	16.0
ENSMUST00000000090_ENSMUSG00000000088	144.0
ENSMUST00000000175_ENSMUSG00000000171	75.0
ENSMUST00000000193_ENSMUSG00000035385	3.0
ENSMUST00000000194_ENSMUSG00000035352	3.0
ENSMUST00000000304_ENSMUSG00000000295	18.0
ENSMUST00000000335_ENSMUSG00000000326	87.0
ENSMUST00000000342_ENSMUSG00000020676	20.0
ENSMUST00000000348_ENSMUSG00000000339	10.0
ENSMUST00000000349_ENSMUSG00000000340	25.0
ENSMUST00000000356_ENSMUSG00000000346	26.0
ENSMUST00000000365_ENSMUSG00000000355	17.0
ENSMUST00000000369_ENSMUSG00000000359	5.0
ENSMUST00000000388_ENSMUSG00000000378	22.0
ENSMUST00000000449_ENSMUSG00000000439	5.0
ENSMUST00000000450_ENSMUSG00000000440	9.0
ENSMUST00000000466_ENSMUSG00000028494	95.0
ENSMUST00000000579_ENSMUSG00000000567	9.0
ENSMUST00000000594_ENSMUSG00000000581	26.0
ENSMUST00000000608_ENSMUSG00000000594	79.0
ENSMUST00000000696_ENSMUSG00000000682	16.0
ENSMUST00000000704_ENSMUSG00000000690	11.0
ENSMUST00000000756_ENSMUSG00000000740	41.0
ENSMUST00000000769_ENSMUSG00000000753	9.0
ENSMUST00000000844_ENSMUSG00000000827	24.0
ENSMUST00000000894_ENSMUSG00000027490	4.0
ENSMUST00000000896_ENSMUSG00000000876	11.0
ENSMUST00000000985_ENSMUSG00000000959	8.0
ENSMUST00000001046_ENSMUSG00000001020	28.0
ENSMUST00000001051_ENSMUSG00000001025	483.0
ENSMUST00000001055_ENSMUSG00000001029	22.0
ENSMUST00000001081_ENSMUSG00000001054	7.0
ENSMUST00000001127_ENSMUSG00000001100	53.0
ENSMUST00000001155_ENSMUSG00000001127	14.0
ENSMUST00000001156_ENSMUSG00000001128	15.0
ENSMUST00000001186_ENSMUSG00000001158	46.0
ENSMUST00000001187_ENSMUSG00000029994	25.0
ENSMUST00000001240_ENSMUSG00000001211	10.0
ENSMUST00000001242_ENSMUSG00000053329	50.0
ENSMUST00000001279_ENSMUSG00000001247	12.0
ENSMUST00000001304_ENSMUSG00000001270	59.0
ENSMUST00000001319_ENSMUSG00000001300	4.0
ENSMUST00000001339_ENSMUSG00000001305	9.0
ENSMUST00000001416_ENSMUSG00000001380	12.0
ENSMUST00000001419_ENSMUSG00000001383	22.0
ENSMUST00000001452_ENSMUSG00000001416	37.0
ENSMUST00000001455_ENSMUSG00000001419	13.0
ENSMUST00000001485_ENSMUSG00000001445	32.0
ENSMUST00000001497_ENSMUSG00000022219	11.0
ENSMUST00000001513_ENSMUSG00000001473	5.0
ENSMUST00000001520_ENSMUSG00000031967	25.0
ENSMUST00000001565_ENSMUSG00000001524	6.0
ENSMUST00000001566_ENSMUSG00000001525	51.0
ENSMUST00000001569_ENSMUSG00000059714	54.0
ENSMUST00000001592_ENSMUSG00000001552	83.0
ENSMUST00000001595_ENSMUSG00000001555	8.0
ENSMUST00000001672_ENSMUSG00000001627	68.0
ENSMUST00000001703_ENSMUSG00000001657	22.0
ENSMUST00000001713_ENSMUSG00000001663	28.0
ENSMUST00000001715_ENSMUSG00000001665	12.0
ENSMUST00000001716_ENSMUSG00000001666	64.0
ENSMUST00000001757_ENSMUSG00000001707	14.0
ENSMUST00000001780_ENSMUSG00000001729	37.0
ENSMUST00000001802_ENSMUSG00000001751	7.0
ENSMUST00000001809_ENSMUSG00000022283	124.0
ENSMUST00000001825_ENSMUSG00000001774	20.0
ENSMUST00000001834_ENSMUSG00000001783	8.0
ENSMUST00000001836_ENSMUSG00000001785	5.0
ENSMUST00000001854_ENSMUSG00000030495	10.0
ENSMUST00000001884_ENSMUSG00000001829	15.0
ENSMUST00000002011_ENSMUSG00000001946	51.0
ENSMUST00000002064_ENSMUSG00000001999	20.0
ENSMUST00000002090_ENSMUSG00000002014	6.0
ENSMUST00000002091_ENSMUSG00000002015	118.0
ENSMUST00000002099_ENSMUSG00000002031	18.0
ENSMUST00000002112_ENSMUSG00000002043	11.0
ENSMUST00000002127_ENSMUSG00000002058	33.0
ENSMUST00000002128_ENSMUSG00000002059	63.0
ENSMUST00000002133_ENSMUSG00000002064	31.0
ENSMUST00000002198_ENSMUSG00000002129	7.0
ENSMUST00000002280_ENSMUSG00000002210	11.0
ENSMUST00000002303_ENSMUSG00000002233	66.0
ENSMUST00000002360_ENSMUSG00000002289	60.0
ENSMUST00000002379_ENSMUSG00000002308	32.0
ENSMUST00000002400_ENSMUSG00000002329	5.0
ENSMUST00000002403_ENSMUSG00000002332	13.0
ENSMUST00000002436_ENSMUSG00000002365	9.0
ENSMUST00000002452_ENSMUSG00000002379	59.0
ENSMUST00000002490_ENSMUSG00000002416	3.0
ENSMUST00000002495_ENSMUSG00000041420	7.0
ENSMUST00000002518_ENSMUSG00000054452	32.0
ENSMUST00000002529_ENSMUSG00000002455	20.0
ENSMUST00000002551_ENSMUSG00000002477	22.0
ENSMUST00000002572_ENSMUSG00000002504	37.0
ENSMUST00000002599_ENSMUSG00000002524	30.0
ENSMUST00000002625_ENSMUSG00000002550	86.0
ENSMUST00000002655_ENSMUSG00000002580	46.0
ENSMUST00000002710_ENSMUSG00000002635	7.0
ENSMUST00000002733_ENSMUSG00000002658	16.0
ENSMUST00000002735_ENSMUSG00000002660	26.0
ENSMUST00000002737_ENSMUSG00000002661	5.0
ENSMUST00000002756_ENSMUSG00000002679	7.0
ENSMUST00000002757_ENSMUSG00000091803	21.0
ENSMUST00000002805_ENSMUSG00000002728	8.0
ENSMUST00000002809_ENSMUSG00000002732	22.0
ENSMUST00000002837_ENSMUSG00000063406	31.0
ENSMUST00000002844_ENSMUSG00000002767	29.0
ENSMUST00000002855_ENSMUSG00000002778	28.0
ENSMUST00000002923_ENSMUSG00000002844	23.0
ENSMUST00000002989_ENSMUSG00000002910	6.0
ENSMUST00000003038_ENSMUSG00000002957	15.0
ENSMUST00000003049_ENSMUSG00000002968	27.0
ENSMUST00000003061_ENSMUSG00000002980	51.0
ENSMUST00000003079_ENSMUSG00000002997	188.0
ENSMUST00000003100_ENSMUSG00000052974	18.0
ENSMUST00000003117_ENSMUSG00000003033	16.0
ENSMUST00000003121_ENSMUSG00000003037	3.0
ENSMUST00000003123_ENSMUSG00000003039	18.0
ENSMUST00000003156_ENSMUSG00000003072	78.0
ENSMUST00000003183_ENSMUSG00000003099	18.0
ENSMUST00000003207_ENSMUSG00000003123	6.0
